objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
español,,Acta de la declaración Independencia de las Provincias Unidas del Sur en español,,Congreso de las Provincias Unidas en Sud-América,Imprenta de Gandarillas y socios,1816,Acta de la declaración Independencia de las Provincias Unidas del Sur en español,independencia; provincias unidas del sur,Tucumán,-26.81666667,-65.21666667,Archivo General de la Nación,,,,,,español,transcripciones,,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,/objects/transcripciones/llc_exordio.html
lcc_f16r,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_1.jpg,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,
lcc_f16v,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_2.jpg,/objects/small/acta_sp_ay_2.jpg,/objects/thumbs/acta_sp_ay_2.jpg,,
lcc_f17r,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_3.jpg,/objects/small/acta_sp_ay_3.jpg,/objects/thumbs/acta_sp_ay_3.jpg,,
lcc_f17v,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_4.jpg,/objects/small/acta_sp_ay_4.jpg,/objects/thumbs/acta_sp_ay_4.jpg,,
