id,text
p1n1,"Congreso de las Provincias Unidas en Sud-América se refiere al conjunto de provincias, que antes formaban parte del Virreinato del Río de la Plata. Estas se unieron para declarar su independencia de los  España el 9 de julio de 1816. Estas provincias incluyeron a Buenos Aires, Tucumán, Córdoba, Salta, Jujuy, Santa Fe, Corrientes, Entre Ríos, Mendoza, San Juan, San Luis, La Rioja, Catamarca y Santiago del Estero."
p1n2,"Esta mención a los reyes de España, refiere a Fernando VII, cuyo reinado estuvo marcado por la invasión napoleónica, la pérdida de las colonias americanas y su posterior restauración en el trono en 1814."
